Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S087XLU38,Bộ lót ren không gọng đệm mỏng dây áo dính liền chéo sau lưng xanh lục 38,2,665000,0,0,665000,156458,508542, 76.47% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,CH32XNC38,Bộ lót ren họa tiết hoa không gọng đệm dày màu xanh ngọc 38,5,1036913,1,-136471,900442,399604,500838, 55.62% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S074DD36,Bộ lót ren không gọng đệm vừa có bèo dưới ngực đỏ đậm 36,4,1205010,1,-320000,885010,384624,500386, 56.54% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM122NTI32,Bộ lót ren không gọng đệm dày dây đan trước nâu tím 32,3,856392,0,0,856392,358446,497946, 58.14% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S140XR36,bộ lót ren bèo rủ không gọng 2 dây quai áo xanh rêu 36,2,720000,0,0,720000,223690,496310, 68.93% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S140HTI34,bộ lót ren bèo rủ không gọng 2 dây quai áo hồng tím 34,2,720000,0,0,720000,223690,496310, 68.93% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S089T38,Bộ lót không gọng đệm dày dây ba có nơ trắng 38,2,666235,0,0,666235,170486,495749, 74.41% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S150DE34,Bộ Lót trơn viền sóng khuy cài trước không gọn đen 34,2,650117,0,0,650117,155220,494897, 76.12% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am126NA34,Bộ lót không gọng đệm vừa dây đan ngực màu NÂU 34,4,947368,0,0,947368,457108,490260, 51.75% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S032DE36,Bộ lót mèo dây đan không gọng đệm vừa đen 36,3,735043,0,0,735043,246444,488599, 66.47% 
